PID,Parcel Address,BUILDING TYPE,STYLE,QUALITY,QUALITY digital, YEAR BUILT,MAIN AND UPPER LIVING AREA,BASEMENT AREA,PARCEL SIZE SQ FT,PARCEL SIZE ACRES,VIEW,WATERFRONT,SALE DATE,ORIGINAL SALE AMOUNT,ADJUSTED SALE AMOUNT,ASSESSOR NH (REFERENCE NO),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37920372,1706 NW 65TH ST VANCOUVER,CONVENTIONAL,RANCH,3,3,1980,1744,,7136,0.16,,,7/5/2021,"$546,000","$603,330",100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
986050553,6220 NW BERNIE DR VANCOUVER,CONVENTIONAL,RANCH,3+,3.5,2021,2463,,7405,0.17,,,3/3/2021,"$630,000","$740,250",100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37920424,6708 NW DOGWOOD DR VANCOUVER,CONVENTIONAL,RANCH,4,4,1984,2708,,12674,0.29,VIEW GOOD,,2/17/2021,"$676,000","$806,130",100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37920176,6509 NW CHERRY ST VANCOUVER,CONVENTIONAL,SPLIT,3,3,1978,1387,700,8171,0.19,,,3/19/2021,"$501,000","$588,675",100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6910000,309 NW 41ST ST VANCOUVER,CONVENTIONAL,1.5 FINISHED,3,3,1920,1112,724,4987,0.11,,,5/24/2021,"$400,000","$456,000",101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6654000,4110 NW WASHINGTON ST VANCOUVER,CONVENTIONAL,1.5 FINISHED,3,3,1926,1308,,5407,0.12,,,3/5/2021,"$315,000","$370,125",101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6830000,323 NW 40TH ST VANCOUVER,CONVENTIONAL,1.5 FINISHED,3,3,1928,1184,672,4903,0.11,,,6/14/2021,"$503,500","$565,179",101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7010000,214 NW 41ST ST VANCOUVER,CONVENTIONAL,1.5 FINISHED,3,3,1941,1280,468,5368,0.12,,,6/1/2021,"$400,000","$449,000",101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12444000,104 NW 44TH ST VANCOUVER,CONVENTIONAL,1.5 FINISHED,3,3,1946,1243,828,5882,0.14,,,5/25/2021,"$370,000","$421,800",101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7543000,213 NW 46TH ST VANCOUVER,CONVENTIONAL,1.5 FINISHED,3,3,1947,1370,974,5352,0.12,,,11/11/2021,"$485,000","$501,975",101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37918390,5323 NW CHERRY ST VANCOUVER,CONVENTIONAL,1.5 FINISHED,3,3,1979,2208,,13504,0.31,,,7/27/2021,"$600,000","$663,000",101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37920614,5701 NW FRANKLIN ST VANCOUVER,CONVENTIONAL,1.5 FINISHED,3,3,1997,1545,,7731,0.18,,,5/18/2021,"$524,500","$597,930",101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6646005,210 NW 46TH ST VANCOUVER,CONVENTIONAL,1.5 FINISHED,3+,3.5,2019,1848,,7405,0.17,,,11/29/2021,"$700,000","$724,500",101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101193014,4910 NW 1ST AVE VANCOUVER,CONVENTIONAL,2 STORY,2,2,2001,1483,,2467,0.06,,,7/8/2021,"$353,000","$390,065",101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101193016,4908 NW 1ST AVE VANCOUVER,CONVENTIONAL,2 STORY,2,2,2002,1483,,2264,0.05,,,5/10/2021,"$370,000","$421,800",101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101193056,4901 NW 1ST AVE VANCOUVER,CONVENTIONAL,2 STORY,2,2,2002,1483,,2596,0.06,,,7/28/2021,"$375,000","$414,375",101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101193054,101 NW 49TH CIR VANCOUVER,CONVENTIONAL,2 STORY,2,2,2002,1497,,5994,0.14,,,3/23/2021,"$354,500","$416,538",101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
986026949,5104 NE 2ND AVE VANCOUVER,CONVENTIONAL,2 STORY,2+,2.5,2013,1462,,2299,0.05,,,4/27/2021,"$375,000","$434,063",101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
986026953,206 NE 52ND ST VANCOUVER,CONVENTIONAL,2 STORY,2+,2.5,2013,1821,,3709,0.09,,,5/25/2021,"$410,000","$467,400",101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
986026969,5001 NE 4TH AVE VANCOUVER,CONVENTIONAL,2 STORY,2+,2.5,2013,1798,,4711,0.11,,,2/26/2021,"$335,000","$399,488",101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37920494,1007 NW 51ST ST VANCOUVER,CONVENTIONAL,2 STORY,3,3,1986,2042,,8949,0.21,,,2/18/2021,"$475,000","$566,438",101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37918126,5203 NW LINCOLN AVE VANCOUVER,CONVENTIONAL,2 STORY,3,3,1993,3240,,30056,0.69,,,5/26/2021,"$665,000","$758,100",101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6630000,4200 NW COLUMBIA ST VANCOUVER,CONVENTIONAL,2 STORY,3+,3.5,1912,2108,860,11291,0.26,,,8/18/2021,"$535,000","$581,813",101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37918733,320 NW 52ND ST VANCOUVER,CONVENTIONAL,2 STORY,3+,3.5,2006,2392,,7841,0.18,,,8/6/2021,"$600,000","$652,500",101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37918623,4612 NW OLIVE ST VANCOUVER,CONVENTIONAL,2 STORY,4+,4.5,1980,2560,1280,10890,0.25,,,12/23/2021,"$851,000","$865,893",101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37920050,526 NW 52ND ST VANCOUVER,CONVENTIONAL,BI-LEVEL (SPLIT ENTRY),2+,2.5,1972,1366,702,8466,0.19,,,5/12/2021,"$442,000","$503,880",101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12190000,111 NW 44TH ST VANCOUVER,CONVENTIONAL,RANCH,2-,1.75,1910,731,192,4989,0.11,,,6/23/2021,"$310,000","$347,975",101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11720000,101 NW 41ST ST VANCOUVER,CONVENTIONAL,RANCH,2,2,1920,602,,4907,0.11,,,10/8/2021,"$336,000","$353,640",101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11710000,118 NW 41ST ST VANCOUVER,CONVENTIONAL,RANCH,2,2,1942,768,,5063,0.12,,,7/27/2021,"$301,000","$332,605",101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37918056,210 NE 45TH ST VANCOUVER,CONVENTIONAL,RANCH,2,2,1947,980,504,7052,0.16,,,5/14/2021,"$330,000","$376,200",101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37918038,4616 PACIFIC AVE VANCOUVER,CONVENTIONAL,RANCH,2,2,1948,704,,6460,0.15,,,2/5/2021,"$292,000","$348,210",101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37918136,5205 NW LINCOLN AVE VANCOUVER,CONVENTIONAL,RANCH,2,2,1951,936,,10890,0.25,,,10/15/2021,"$385,000","$405,213",101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1415000,4001 NW LAVINA ST VANCOUVER,CONVENTIONAL,RANCH,2,2,1973,960,,5170,0.12,,,4/22/2021,"$357,000","$413,228",101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37920094,5411 NW ESTHER ST VANCOUVER,CONVENTIONAL,RANCH,2,2,1974,1100,,8550,0.20,,,11/19/2021,"$415,000","$429,525",101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37920102,406 NW 54TH ST VANCOUVER,CONVENTIONAL,RANCH,2,2,1974,1119,,9505,0.22,,,9/24/2021,"$460,000","$492,200",101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37920058,5329 NW FRANKLIN ST VANCOUVER,CONVENTIONAL,RANCH,2,2,1977,1188,,8449,0.19,,,6/7/2021,"$435,000","$488,288",101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101193028,122 NW 49TH CIR VANCOUVER,CONVENTIONAL,RANCH,2,2,2002,1230,,7728,0.18,,,9/8/2021,"$425,000","$454,750",101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37918024,4613 PACIFIC AVE VANCOUVER,CONVENTIONAL,RANCH,2+,2.5,1957,1932,,8039,0.18,,,5/20/2021,"$482,000","$549,480",101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37919786,1224 NW 55TH LOOP VANCOUVER,CONVENTIONAL,RANCH,2+,2.5,1971,1200,,7084,0.16,,,5/27/2021,"$415,000","$473,100",101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37920054,5311 NW FRANKLIN ST VANCOUVER,CONVENTIONAL,RANCH,2+,2.5,1977,952,884,8357,0.19,,,6/17/2021,"$390,000","$437,775",101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37918158,4617 NW LINCOLN AVE VANCOUVER,CONVENTIONAL,RANCH,2+,2.5,1980,1369,,9583,0.22,,,2/23/2021,"$460,000","$548,550",101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37918168,4643 NW LINCOLN AVE VANCOUVER,CONVENTIONAL,RANCH,2+,2.5,1990,1218,,8712,0.20,,,9/24/2021,"$335,000","$358,450",101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37918166,4625 NW LINCOLN AVE VANCOUVER,CONVENTIONAL,RANCH,2+,2.5,1990,1218,,10019,0.23,,,5/28/2021,"$335,000","$381,900",101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37916471,1200 NW 46TH ST VANCOUVER,CONVENTIONAL,RANCH,3-,2.75,1953,1080,1080,6970,0.16,,,11/16/2021,"$440,000","$455,400",101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7160000,214 W 39TH ST VANCOUVER,CONVENTIONAL,RANCH,3,3,1940,946,720,4983,0.11,,,6/25/2021,"$475,000","$533,188",101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7253000,412 W 39TH ST VANCOUVER,CONVENTIONAL,RANCH,3,3,1940,820,820,5010,0.12,,,10/18/2021,"$409,900","$431,420",101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7466025,509 NW 45TH ST VANCOUVER,CONVENTIONAL,RANCH,3,3,1940,939,800,6548,0.15,,,10/6/2021,"$515,000","$542,038",101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6805000,311 NW 40TH ST VANCOUVER,CONVENTIONAL,RANCH,3,3,1942,830,780,4945,0.11,,,12/10/2021,"$435,000","$442,613",101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7470080,1000 NW 44TH ST VANCOUVER,CONVENTIONAL,RANCH,3,3,1944,778,778,7876,0.18,,,9/13/2021,"$445,000","$476,150",101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7465120,4212 NW COLUMBIA ST VANCOUVER,CONVENTIONAL,RANCH,3,3,1950,1067,1067,7352,0.17,,,6/29/2021,"$525,000","$589,313",101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1215080,4106 NW LINCOLN AVE VANCOUVER,CONVENTIONAL,RANCH,3,3,1951,1084,1084,6742,0.15,,,6/4/2021,"$475,000","$533,188",101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37916477,4602 NW LINCOLN AVE VANCOUVER,CONVENTIONAL,RANCH,3,3,1952,1080,1080,6534,0.15,,,3/8/2021,"$431,000","$506,425",101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37916599,1103 NW 48TH ST VANCOUVER,CONVENTIONAL,RANCH,3,3,1953,1272,1272,7583,0.17,,,12/21/2021,"$515,000","$524,013",101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37916841,1120 NW 50TH ST VANCOUVER,CONVENTIONAL,RANCH,3,3,1953,1184,1184,8276,0.19,,,5/16/2021,"$470,000","$535,800",101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
